delta,S,n_zero_crossings,action_structure,zero_crossings,H_at_left_boundary,H_at_right_boundary
0.04,60,0,no_zero_all_positive,NA,1.2194012477760567,0.0017201699525031255
0.04,62,0,no_zero_all_positive,NA,1.21940136178249,0.001777449637493822
0.04,64,0,no_zero_all_positive,NA,1.2194014686635348,0.001834725499898049
0.04,66,0,no_zero_all_positive,NA,1.2194015690669529,0.001891997540098389
0.04,68,0,no_zero_all_positive,NA,1.219401663564298,0.0019492657584769812
0.04,70,0,no_zero_all_positive,NA,1.2194017526618042,0.0020065301554170745
0.04,72,0,no_zero_all_positive,NA,1.2194018368094575,0.0020637907313005854
0.04,74,0,no_zero_all_positive,NA,1.2194019164085967,0.002121047486510097
0.04,76,0,no_zero_all_positive,NA,1.2194019918183143,0.00217830042142797
0.04,78,0,no_zero_all_positive,NA,1.2194020633608729,0.0022355495364367872
0.04,80,0,no_zero_all_positive,NA,1.2194021313263093,0.0022927948319186875
0.04,82,0,no_zero_all_positive,NA,1.2194021959763635,0.0023500363082558096
0.04,84,0,no_zero_all_positive,NA,1.2194022575478483,0.002407273965830292
0.04,86,0,no_zero_all_positive,NA,1.2194023162555465,0.002464507805024496
0.04,88,0,no_zero_all_positive,NA,1.2194023722947172,0.0025217378262203383
0.04,90,0,no_zero_all_positive,NA,1.2194024258432623,0.002578964029799735
0.04,92,0,no_zero_all_positive,NA,1.219402477063612,0.0026361864161450477
0.04,94,0,no_zero_all_positive,NA,1.219402526104375,0.0026934049856377484
