delta,S,nu_min,H_at_nu_min,H_at_minus_10,H_at_plus_10,H_left_boundary,H_right_boundary
0.06999999999999999,82,NA,NA,0.6857245178957334,0.0023500363082555875,NA,1.276770627869924
0.06999999999999999,87,NA,NA,0.6857246665165664,0.0024931232928482316,NA,1.2767926756544132
0.06999999999999999,92,NA,NA,0.6857247989829816,0.0026361864161450477,NA,1.2768123274175953
0.06999999999999999,97,NA,NA,0.6857249177930838,0.0027792256841141505,NA,1.2768299536082814
0.06999999999999999,102,NA,NA,0.6857250249551505,0.0029222411027218786,NA,1.2768458520512995
0.06999999999999999,107,NA,NA,0.6857251221020819,0.00306523267793235,NA,1.2768602649128153
0.06999999999999999,112,NA,NA,0.6857252105751903,0.003208200415707907,NA,1.276873391122105
0.06999999999999999,117,NA,NA,0.6857252914865022,0.00335114432200867,NA,1.2768853956087636
0.06999999999999999,122,NA,NA,0.6857253657657463,0.0034940644027932066,NA,1.276896416268806
0.06999999999999999,127,NA,NA,0.6857254341962364,0.003636960664017419,NA,1.2769065692854706
0.06999999999999999,132,NA,NA,0.6857254974426041,0.0037798331116354333,NA,1.2769159532409176
0.06999999999999999,137,NA,NA,0.6857255560724522,0.003922681751600043,NA,1.2769246523276725
0.06999999999999999,142,NA,NA,0.6857256105734413,0.004065506589861156,NA,1.2769327388816918
0.06999999999999999,147,NA,NA,0.6857256613668832,0.0042083076323675694,NA,1.2769402753985277
0.06999999999999999,152,NA,NA,0.6857257088186541,0.004351084885065193,NA,1.2769473161516256
0.06999999999999999,157,NA,NA,0.6857257532480214,0.004493838353898605,NA,1.2769539085014228
0.06999999999999999,162,NA,NA,0.6857257949348372,0.004636568044809941,NA,1.27696009396205
0.06999999999999999,167,NA,NA,0.6857258341254386,0.004779273963739783,NA,1.2769659090764311
0.06999999999999999,172,NA,NA,0.6857258710375183,0.004921956116626713,NA,1.2769713861387646
0.06999999999999999,177,NA,NA,0.6857259058641714,0.005064614509407095,NA,1.2769765537945652
0.06999999999999999,182,NA,NA,0.6857259387772734,0.005207249148015292,NA,1.2769814375418052
0.06999999999999999,187,NA,NA,0.6857259699303171,0.005349860038383891,NA,1.276986060151668
0.06999999999999999,192,NA,NA,0.6857259994608076,0.005492447186443261,NA,1.2769904420235654
0.06999999999999999,197,NA,NA,0.6857260274922896,0.005635010598122214,NA,1.2769946014860953
0.08,2,NA,NA,0.467979670046232,5.739454077158257e-5,NA,1.1837430161092184
0.08,7,NA,NA,0.46805539718970834,2.0086411939868043e-4,NA,1.19485174818806
0.08,12,NA,NA,0.468068019029273,3.443097409676632e-4,NA,1.1967173114131098
0.08,17,NA,NA,0.4680732163112271,4.8773141147839816e-4,NA,1.197486665551059
0.08,22,NA,NA,0.46807605120554463,6.311291369289762e-4,NA,1.1979066041612414
0.08,27,NA,NA,0.4680778361438023,7.74502923316156e-4,NA,1.1981711153880907
0.08,32,NA,NA,0.46807906329100524,9.178527766333655e-4,NA,1.1983530141409322
0.08,37,NA,NA,0.46807995877790853,0.0010611787028731445,NA,1.1984857753925928
0.08,42,NA,NA,0.4680806410542715,0.0012044807080255904,NA,1.1985869406010419
0.08,47,NA,NA,0.4680811781658316,0.00134775879807858,NA,1.1986665896817705
0.08,52,NA,NA,0.4680816119869524,0.0014910129790186577,NA,1.1987309270247486
0.08,57,NA,NA,0.4680819696992695,0.0016342432568297038,NA,1.1987839807403067
0.08,62,NA,NA,0.46808226971616573,0.001777449637494044,NA,1.1988284799320905
0.08,67,NA,NA,0.46808252495450375,0.0019206321269913396,NA,1.1988663392685808
0.08,72,NA,NA,0.46808274474313327,0.0020637907313003634,NA,1.1988989417011633
0.08,77,NA,NA,0.4680829359878307,0.002206925456397224,NA,1.198927311058495
0.08,82,NA,NA,0.46808310391003927,0.0023500363082555875,NA,1.198952221510689
0.08,87,NA,NA,0.46808325253087224,0.0024931232928482316,NA,1.1989742692951781
0.08,92,NA,NA,0.4680833849972874,0.0026361864161450477,NA,1.1989939210583602
0.08,97,NA,NA,0.4680835038073896,0.0027792256841141505,NA,1.1990115472490463
0.08,102,NA,NA,0.4680836109694564,0.0029222411027218786,NA,1.1990274456920644
0.08,107,NA,NA,0.4680837081163878,0.00306523267793235,NA,1.1990418585535803
0.08,112,NA,NA,0.46808379658949617,0.003208200415707907,NA,1.19905498476287
0.08,117,NA,NA,0.46808387750080804,0.00335114432200867,NA,1.1990669892495285
0.08,122,NA,NA,0.46808395178005213,0.0034940644027932066,NA,1.1990780099095708
0.08,127,NA,NA,0.4680840202105423,0.003636960664017419,NA,1.1990881629262355
0.08,132,NA,NA,0.46808408345691,0.0037798331116354333,NA,1.1990975468816825
0.08,137,NA,NA,0.4680841420867581,0.003922681751600043,NA,1.1991062459684374
0.08,142,NA,NA,0.46808419658774714,0.004065506589861156,NA,1.1991143325224567
0.08,147,NA,NA,0.46808424738118903,0.0042083076323675694,NA,1.1991218690392926
0.08,152,NA,NA,0.46808429483296,0.004351084885065193,NA,1.1991289097923905
0.08,157,NA,NA,0.4680843392623273,0.004493838353898605,NA,1.1991355021421877
0.08,162,NA,NA,0.46808438094914306,0.004636568044809941,NA,1.199141687602815
0.08,167,NA,NA,0.4680844201397445,0.004779273963739783,NA,1.199147502717196
