delta,S,regime,n_zero_crossings,v_star
0.05,142,all_action,0,NA
0.05,144,all_action,0,NA
0.05,146,all_action,0,NA
0.05,148,all_action,0,NA
0.05,150,all_action,0,NA
0.05,152,all_action,0,NA
0.05,154,all_action,0,NA
0.05,156,all_action,0,NA
0.05,158,all_action,0,NA
0.05,160,all_action,0,NA
0.05,162,all_action,0,NA
0.05,164,all_action,0,NA
0.05,166,all_action,0,NA
0.05,168,all_action,0,NA
0.05,170,all_action,0,NA
0.05,172,all_action,0,NA
0.05,174,all_action,0,NA
0.05,176,all_action,0,NA
0.05,178,all_action,0,NA
0.05,180,all_action,0,NA
0.05,182,all_action,0,NA
0.05,184,all_action,0,NA
0.05,186,all_action,0,NA
0.05,188,all_action,0,NA
0.05,190,all_action,0,NA
0.05,192,all_action,0,NA
0.05,194,all_action,0,NA
0.05,196,all_action,0,NA
0.05,198,all_action,0,NA
0.05,200,all_action,0,NA
0.060000000000000005,2,all_action,0,NA
0.060000000000000005,4,all_action,0,NA
0.060000000000000005,6,all_action,0,NA
0.060000000000000005,8,all_action,0,NA
0.060000000000000005,10,all_action,0,NA
0.060000000000000005,12,all_action,0,NA
0.060000000000000005,14,all_action,0,NA
0.060000000000000005,16,all_action,0,NA
0.060000000000000005,18,all_action,0,NA
0.060000000000000005,20,all_action,0,NA
0.060000000000000005,22,all_action,0,NA
0.060000000000000005,24,all_action,0,NA
0.060000000000000005,26,all_action,0,NA
0.060000000000000005,28,all_action,0,NA
0.060000000000000005,30,all_action,0,NA
0.060000000000000005,32,all_action,0,NA
0.060000000000000005,34,all_action,0,NA
0.060000000000000005,36,all_action,0,NA
0.060000000000000005,38,all_action,0,NA
0.060000000000000005,40,all_action,0,NA
0.060000000000000005,42,all_action,0,NA
0.060000000000000005,44,all_action,0,NA
0.060000000000000005,46,all_action,0,NA
0.060000000000000005,48,all_action,0,NA
0.060000000000000005,50,all_action,0,NA
0.060000000000000005,52,all_action,0,NA
0.060000000000000005,54,all_action,0,NA
0.060000000000000005,56,all_action,0,NA
0.060000000000000005,58,all_action,0,NA
0.060000000000000005,60,all_action,0,NA
0.060000000000000005,62,all_action,0,NA
0.060000000000000005,64,all_action,0,NA
0.060000000000000005,66,all_action,0,NA
0.060000000000000005,68,all_action,0,NA
0.060000000000000005,70,all_action,0,NA
0.060000000000000005,72,all_action,0,NA
0.060000000000000005,74,all_action,0,NA
0.060000000000000005,76,all_action,0,NA
0.060000000000000005,78,all_action,0,NA
0.060000000000000005,80,all_action,0,NA
0.060000000000000005,82,all_action,0,NA
0.060000000000000005,84,all_action,0,NA
0.060000000000000005,86,all_action,0,NA
0.060000000000000005,88,all_action,0,NA
0.060000000000000005,90,all_action,0,NA
0.060000000000000005,92,all_action,0,NA
0.060000000000000005,94,all_action,0,NA
0.060000000000000005,96,all_action,0,NA
0.060000000000000005,98,all_action,0,NA
0.060000000000000005,100,all_action,0,NA
0.060000000000000005,102,all_action,0,NA
0.060000000000000005,104,all_action,0,NA
0.060000000000000005,106,all_action,0,NA
0.060000000000000005,108,all_action,0,NA
0.060000000000000005,110,all_action,0,NA
0.060000000000000005,112,all_action,0,NA
0.060000000000000005,114,all_action,0,NA
0.060000000000000005,116,all_action,0,NA
0.060000000000000005,118,all_action,0,NA
0.060000000000000005,120,all_action,0,NA
0.060000000000000005,122,all_action,0,NA
0.060000000000000005,124,all_action,0,NA
0.060000000000000005,126,all_action,0,NA
0.060000000000000005,128,all_action,0,NA
0.060000000000000005,130,all_action,0,NA
0.060000000000000005,132,all_action,0,NA
0.060000000000000005,134,all_action,0,NA
0.060000000000000005,136,all_action,0,NA
0.060000000000000005,138,all_action,0,NA
0.060000000000000005,140,all_action,0,NA
0.060000000000000005,142,all_action,0,NA
0.060000000000000005,144,all_action,0,NA
0.060000000000000005,146,all_action,0,NA
0.060000000000000005,148,all_action,0,NA
0.060000000000000005,150,all_action,0,NA
0.060000000000000005,152,all_action,0,NA
0.060000000000000005,154,all_action,0,NA
0.060000000000000005,156,all_action,0,NA
0.060000000000000005,158,all_action,0,NA
0.060000000000000005,160,all_action,0,NA
0.060000000000000005,162,all_action,0,NA
0.060000000000000005,164,all_action,0,NA
0.060000000000000005,166,all_action,0,NA
0.060000000000000005,168,all_action,0,NA
0.060000000000000005,170,all_action,0,NA
0.060000000000000005,172,all_action,0,NA
0.060000000000000005,174,all_action,0,NA
0.060000000000000005,176,all_action,0,NA
0.060000000000000005,178,all_action,0,NA
0.060000000000000005,180,all_action,0,NA
0.060000000000000005,182,all_action,0,NA
0.060000000000000005,184,all_action,0,NA
0.060000000000000005,186,all_action,0,NA
0.060000000000000005,188,all_action,0,NA
0.060000000000000005,190,all_action,0,NA
0.060000000000000005,192,all_action,0,NA
0.060000000000000005,194,all_action,0,NA
0.060000000000000005,196,all_action,0,NA
0.060000000000000005,198,all_action,0,NA
0.060000000000000005,200,all_action,0,NA
0.06999999999999999,2,all_action,0,NA
0.06999999999999999,4,all_action,0,NA
0.06999999999999999,6,all_action,0,NA
0.06999999999999999,8,all_action,0,NA
0.06999999999999999,10,all_action,0,NA
0.06999999999999999,12,all_action,0,NA
0.06999999999999999,14,all_action,0,NA
0.06999999999999999,16,all_action,0,NA
0.06999999999999999,18,all_action,0,NA
0.06999999999999999,20,all_action,0,NA
0.06999999999999999,22,all_action,0,NA
0.06999999999999999,24,all_action,0,NA
0.06999999999999999,26,all_action,0,NA
0.06999999999999999,28,all_action,0,NA
0.06999999999999999,30,all_action,0,NA
0.06999999999999999,32,all_action,0,NA
0.06999999999999999,34,all_action,0,NA
0.06999999999999999,36,all_action,0,NA
0.06999999999999999,38,all_action,0,NA
0.06999999999999999,40,all_action,0,NA
0.06999999999999999,42,all_action,0,NA
0.06999999999999999,44,all_action,0,NA
0.06999999999999999,46,all_action,0,NA
0.06999999999999999,48,all_action,0,NA
0.06999999999999999,50,all_action,0,NA
0.06999999999999999,52,all_action,0,NA
0.06999999999999999,54,all_action,0,NA
0.06999999999999999,56,all_action,0,NA
0.06999999999999999,58,all_action,0,NA
0.06999999999999999,60,all_action,0,NA
0.06999999999999999,62,all_action,0,NA
0.06999999999999999,64,all_action,0,NA
0.06999999999999999,66,all_action,0,NA
0.06999999999999999,68,all_action,0,NA
0.06999999999999999,70,all_action,0,NA
0.06999999999999999,72,all_action,0,NA
0.06999999999999999,74,all_action,0,NA
0.06999999999999999,76,all_action,0,NA
0.06999999999999999,78,all_action,0,NA
0.06999999999999999,80,all_action,0,NA
0.06999999999999999,82,all_action,0,NA
0.06999999999999999,84,all_action,0,NA
0.06999999999999999,86,all_action,0,NA
0.06999999999999999,88,all_action,0,NA
0.06999999999999999,90,all_action,0,NA
0.06999999999999999,92,all_action,0,NA
0.06999999999999999,94,all_action,0,NA
0.06999999999999999,96,all_action,0,NA
0.06999999999999999,98,all_action,0,NA
0.06999999999999999,100,all_action,0,NA
0.06999999999999999,102,all_action,0,NA
0.06999999999999999,104,all_action,0,NA
0.06999999999999999,106,all_action,0,NA
0.06999999999999999,108,all_action,0,NA
0.06999999999999999,110,all_action,0,NA
0.06999999999999999,112,all_action,0,NA
0.06999999999999999,114,all_action,0,NA
